1 	19970101 	2 	29 
1 	19970118 	2 	30 
1 	19970802 	1 	15 
1 	19971212 	2 	26 
2 	19970101 	3 	63 
2 	19970113 	1 	12 
3 	19970101 	1 	7 
4 	19970101 	1 	14 
5 	19970101 	2 	24 
6 	19970101 	1 	36 
6 	19970111 	1 	33 
6 	19970315 	4 	78 
6 	19970416 	3 	59 
6 	19970424 	2 	135 
6 	19970623 	1 	92 
6 	19970722 	3 	47 
6 	19970726 	2 	72 
6 	19971025 	3 	78 
6 	19971206 	3 	83 
6 	19980118 	4 	84 
6 	19980215 	4 	124 
6 	19980221 	2 	33 
6 	19980226 	2 	23 
6 	19980510 	1 	73 
6 	19980620 	3 	55 
7 	19970101 	1 	12 
7 	19970205 	1 	12 
8 	19970101 	3 	33 
8 	19980304 	1 	15 
8 	19980307 	1 	11 
9 	19970101 	1 	16 
9 	19970501 	2 	28 
9 	19970908 	1 	23 
9 	19980210 	1 	28 
9 	19980211 	2 	29 
10 	19970101 	2 	30 
11 	19970101 	1 	19 
11 	19970127 	1 	14 
11 	19970201 	1 	10 
11 	19970302 	1 	16 
11 	19970504 	3 	47 
11 	19970621 	3 	60 
11 	19971111 	2 	33 
12 	19970101 	1 	14 
13 	19970101 	2 	30 
13 	19971130 	2 	16 
13 	19971213 	3 	37 
13 	19971221 	2 	18 
13 	19971224 	3 	37 
13 	19980224 	1 	11 
13 	19980318 	1 	12 
13 	19980527 	1 	12 
14 	19970101 	3 	44 
15 	19970101 	1 	16 
16 	19970101 	1 	12 
17 	19970101 	2 	26 
17 	19970206 	2 	24 
17 	19970211 	1 	14 
17 	19970212 	1 	28 
17 	19970228 	1 	10 
17 	19970311 	1 	15 
17 	19970527 	1 	22 
17 	19970531 	1 	17 
17 	19970708 	3 	52 
17 	19970807 	2 	37 
17 	19970828 	1 	24 
17 	19971229 	3 	41 
17 	19980106 	1 	30 
18 	19970101 	1 	14 
18 	19970204 	1 	10 
19 	19970102 	2 	36 
19 	19970223 	2 	27 
19 	19970420 	2 	24 
19 	19970719 	2 	25 
19 	19980215 	1 	15 
19 	19980505 	3 	43 
20 	19970102 	2 	18 
21 	19970102 	1 	15 
21 	19970302 	2 	35 
21 	19970414 	1 	30 
22 	19970102 	1 	9 
23 	19970102 	1 	15 
24 	19970102 	1 	15 
25 	19970102 	2 	88 
25 	19971221 	1 	15 
26 	19970102 	1 	4 
26 	19970113 	10 	167 
26 	19970113 	4 	60 
27 	19970102 	1 	16 
28 	19970102 	2 	26 
28 	19970727 	4 	80 
29 	19970102 	1 	46 
30 	19970102 	2 	29 
30 	19970212 	2 	40 
31 	19970102 	1 	45 
32 	19970102 	1 	11 
33 	19970102 	1 	26 
34 	19970102 	1 	15 
35 	19970102 	1 	12 
35 	19970711 	2 	31 
35 	19980614 	1 	59 
36 	19970102 	1 	15 
37 	19970102 	3 	35 
38 	19970102 	3 	47 
38 	19970117 	1 	14 
39 	19970102 	1 	15 
39 	19971009 	1 	17 
40 	19970102 	1 	15 
41 	19970103 	1 	12 
42 	19970103 	1 	12 
43 	19970103 	4 	46 
44 	19970103 	4 	50 
45 	19970103 	1 	9 
45 	19970623 	1 	15 
46 	19970103 	3 	41 
46 	19970114 	1 	15 
46 	19970121 	2 	43 
46 	19970127 	1 	15 
46 	19970204 	2 	39 
46 	19970411 	2 	30 
46 	19970627 	2 	38 
46 	19970710 	2 	27 
46 	19970714 	2 	30 
46 	19970729 	1 	15 
46 	19970731 	1 	22 
46 	19970828 	2 	30 
46 	19970828 	2 	28 
46 	19970901 	2 	24 
46 	19971013 	2 	32 
46 	19971028 	2 	24 
46 	19971214 	3 	36 
46 	19980110 	2 	26 
46 	19980213 	2 	29 
46 	19980301 	2 	31 
46 	19980305 	2 	32 
46 	19980325 	2 	26 
46 	19980415 	1 	12 
46 	19980531 	1 	13 
47 	19970103 	1 	14 
48 	19970103 	1 	12 
49 	19970103 	1 	18 
49 	19970114 	1 	14 
50 	19970103 	3 	28 
51 	19970103 	3 	55 
51 	19980411 	6 	94 
51 	19980411 	2 	21 
52 	19970103 	1 	25 
53 	19970103 	1 	13 
53 	19980410 	2 	34 
54 	19970103 	2 	29 
55 	19970103 	1 	53 
56 	19970103 	1 	14 
56 	19970706 	1 	14 
56 	19970823 	4 	42 
57 	19970103 	1 	12 
57 	19970202 	1 	15 
57 	19980420 	2 	26 
58 	19970104 	1 	15 
59 	19970104 	3 	45 
59 	19970930 	1 	6 
59 	19971124 	1 	13 
59 	19980319 	1 	37 
60 	19970104 	8 	121 
61 	19970104 	4 	56 
61 	19970120 	4 	63 
61 	19970120 	1 	15 
61 	19970224 	3 	64 
61 	19970224 	1 	25 
61 	19970303 	1 	15 
61 	19970729 	1 	31 
61 	19971217 	2 	29 
61 	19971218 	1 	28 
61 	19971222 	3 	67 
62 	19970104 	10 	187 
63 	19970104 	2 	27 
63 	19970427 	3 	43 
63 	19980330 	2 	29 
64 	19970104 	1 	14 
65 	19970104 	3 	35 
66 	19970104 	2 	22 
67 	19970104 	4 	59 
67 	19970126 	10 	144 
67 	19970601 	8 	123 
67 	19971112 	8 	140 
68 	19970104 	2 	25 
69 	19970104 	1 	17 
70 	19970104 	2 	37 
70 	19970111 	1 	12 
70 	19970602 	5 	71 
70 	19970728 	3 	45 
70 	19980418 	7 	106 
71 	19970104 	2 	145 
72 	19970104 	1 	13 
73 	19970104 	4 	52 
73 	19970214 	5 	69 
73 	19971207 	1 	15 
74 	19970104 	1 	15 
75 	19970104 	6 	53 
75 	19970209 	2 	21 
76 	19970104 	8 	117 
77 	19970104 	1 	18 
78 	19970105 	1 	15 
79 	19970105 	1 	14 
79 	19970307 	1 	14 
79 	19970322 	1 	14 
79 	19970503 	3 	33 
80 	19970105 	5 	96 
81 	19970105 	2 	34 
82 	19970105 	5 	67 
82 	19970226 	3 	42 
83 	19970105 	2 	22 
